task_id,category,hardware,model,backend,run_index,raw_output,latency_s,input_tokens,output_tokens,tokens_per_second,peak_memory_mb,peak_memory_allocated_mb,peak_memory_reserved_mb,error,groq_server_tokens_per_second,groq_response_id,timestamp,correct,score_reason,parsed_calls,gold_calls,failure_type
simple_361,simple,L4_Llama,NousResearch/Meta-Llama-3.1-8B-Instruct,transformers_gpu,0,"<tool_call>
{""name"": ""restaurant_finder"", ""arguments"": {""city"": ""New York"", ""cuisine"": ""Italian"", ""diet"": ""Gluten-free""}}
</tool_call>",2.62000804906711,277,41,15.648806886146254,15390.78662109375,15390.78662109375,15426.0,,,,2026-04-30T21:41:22.140311+00:00,True,correct: Predicted calls match gold function names and required arguments.,"[{""name"": ""restaurant_finder"", ""arguments"": {""city"": ""New York"", ""cuisine"": ""Italian"", ""diet"": ""Gluten-free""}}]","[{""name"": ""restaurant_finder"", ""arguments"": {""city"": [""New York City"", ""New York City, NY"", ""NYC"", ""New York""], ""cuisine"": [""Italian""], ""diet"": [""Gluten-free""]}}]",correct
simple_113,simple,L4_Llama,NousResearch/Meta-Llama-3.1-8B-Instruct,transformers_gpu,0,"<tool_call>
{""name"": ""probability.dice_roll"", ""arguments"": {""desired_number"": ""6"", ""number_of_rolls"": ""2"", ""die_sides"": ""6""}}
</tool_call>",2.869879572186619,289,45,15.680100460004178,15394.23779296875,15394.23779296875,15424.0,,,,2026-04-30T21:41:24.777252+00:00,True,correct: Predicted calls match gold function names and required arguments.,"[{""name"": ""probability.dice_roll"", ""arguments"": {""desired_number"": ""6"", ""number_of_rolls"": ""2"", ""die_sides"": ""6""}}]","[{""name"": ""probability.dice_roll"", ""arguments"": {""desired_number"": [6], ""number_of_rolls"": [2], ""die_sides"": [6, """"]}}]",correct
simple_135,simple,L4_Llama,NousResearch/Meta-Llama-3.1-8B-Instruct,transformers_gpu,0,"<tool_call>
{""name"": ""calculate_return_on_investment"", ""arguments"": {""purchase_price"": 20, ""sale_price"": 25, ""dividend"": 2}}
</tool_call>",2.7492924500256777,287,43,15.640387765804395,15393.83837890625,15393.83837890625,15424.0,,,,2026-04-30T21:41:27.656977+00:00,True,correct: Predicted calls match gold function names and required arguments.,"[{""name"": ""calculate_return_on_investment"", ""arguments"": {""purchase_price"": 20, ""sale_price"": 25, ""dividend"": 2}}]","[{""name"": ""calculate_return_on_investment"", ""arguments"": {""purchase_price"": [20], ""sale_price"": [25], ""dividend"": [2]}}]",correct
simple_1,simple,L4_Llama,NousResearch/Meta-Llama-3.1-8B-Instruct,transformers_gpu,0,"<tool_call>
{""name"": ""math.factorial"", ""arguments"": {""number"": 5}}
</tool_call>",1.6527880136854947,188,26,15.730995012496189,15369.65673828125,15369.65673828125,15394.0,,,,2026-04-30T21:41:30.415740+00:00,True,correct: Predicted calls match gold function names and required arguments.,"[{""name"": ""math.factorial"", ""arguments"": {""number"": 5}}]","[{""name"": ""math.factorial"", ""arguments"": {""number"": [5]}}]",correct
simple_123,simple,L4_Llama,NousResearch/Meta-Llama-3.1-8B-Instruct,transformers_gpu,0,"<tool_call>
{""name"": ""hypothesis_testing.two_sample_t_test"", ""arguments"": {""group1"": ""[12.4, 15.6, 11.2, 18.9]"", ""group2"": ""[10.5, 9.8, 15.2, 13.8]"", ""alpha"": ""0.05""}}
</tool_call>",5.145873417146504,370,81,15.740768074492633,15413.30615234375,15413.30615234375,15464.0,,,,2026-04-30T21:41:32.076723+00:00,True,correct: Predicted calls match gold function names and required arguments.,"[{""name"": ""hypothesis_testing.two_sample_t_test"", ""arguments"": {""group1"": ""[12.4, 15.6, 11.2, 18.9]"", ""group2"": ""[10.5, 9.8, 15.2, 13.8]"", ""alpha"": ""0.05""}}]","[{""name"": ""hypothesis_testing.two_sample_t_test"", ""arguments"": {""group1"": [[12.4, 15.6, 11.2, 18.9]], ""group2"": [[10.5, 9.8, 15.2, 13.8]], ""alpha"": [0.05, """"]}}]",correct
simple_36,simple,L4_Llama,NousResearch/Meta-Llama-3.1-8B-Instruct,transformers_gpu,0,"<tool_call>
{""name"": ""get_shortest_driving_distance"", ""arguments"": {""origin"": ""New York City"", ""destination"": ""Washington D.C."", ""unit"": ""km""}}
</tool_call>",2.874011402949691,273,45,15.657557918460256,15389.83154296875,15389.83154296875,15426.0,,,,2026-04-30T21:41:37.230639+00:00,True,correct: Predicted calls match gold function names and required arguments.,"[{""name"": ""get_shortest_driving_distance"", ""arguments"": {""origin"": ""New York City"", ""destination"": ""Washington D.C."", ""unit"": ""km""}}]","[{""name"": ""get_shortest_driving_distance"", ""arguments"": {""origin"": [""New York City""], ""destination"": [""Washington D.C.""], ""unit"": [""km"", """"]}}]",correct
simple_353,simple,L4_Llama,NousResearch/Meta-Llama-3.1-8B-Instruct,transformers_gpu,0,"<tool_call>
{""name"": ""find_recipes"", ""arguments"": {""diet"": ""gluten-free"", ""meal_type"": ""dinner""}}
</tool_call>",2.308317745104432,291,36,15.595773188656617,15394.63720703125,15394.63720703125,15424.0,,,,2026-04-30T21:41:40.116818+00:00,True,correct: Predicted calls match gold function names and required arguments.,"[{""name"": ""find_recipes"", ""arguments"": {""diet"": ""gluten-free"", ""meal_type"": ""dinner""}}]","[{""name"": ""find_recipes"", ""arguments"": {""diet"": [""gluten-free""], ""meal_type"": [""dinner""], ""ingredients"": [""""]}}]",correct
simple_137,simple,L4_Llama,NousResearch/Meta-Llama-3.1-8B-Instruct,transformers_gpu,0,"<tool_call>
{""name"": ""calculate_stock_return"", ""arguments"": {""investment_amount"": 5000, ""annual_growth_rate"": 0.06, ""holding_period"": 5}}
</tool_call>",2.8864550632424653,336,45,15.590057358956345,15404.87548828125,15404.87548828125,15446.0,,,,2026-04-30T21:41:42.434192+00:00,True,correct: Predicted calls match gold function names and required arguments.,"[{""name"": ""calculate_stock_return"", ""arguments"": {""investment_amount"": 5000, ""annual_growth_rate"": 0.06, ""holding_period"": 5}}]","[{""name"": ""calculate_stock_return"", ""arguments"": {""investment_amount"": [5000], ""annual_growth_rate"": [0.06], ""holding_period"": [5], ""dividends"": ["""", false]}}]",correct
simple_200,simple,L4_Llama,NousResearch/Meta-Llama-3.1-8B-Instruct,transformers_gpu,0,"<tool_call>
{""name"": ""calculate_emissions"", ""arguments"": {""distance"": ""12000"", ""fuel_type"": ""gas"", ""fuel_efficiency"": ""25""}}
</tool_call>",2.6919730096124113,333,42,15.601939488259259,15404.15966796875,15404.15966796875,15446.0,,,,2026-04-30T21:41:45.329592+00:00,False,"argument_mismatch: Argument mismatch for 'fuel_efficiency': predicted 25, gold ['', 25.0].","[{""name"": ""calculate_emissions"", ""arguments"": {""distance"": ""12000"", ""fuel_type"": ""gas"", ""fuel_efficiency"": ""25""}}]","[{""name"": ""calculate_emissions"", ""arguments"": {""distance"": [12000], ""fuel_type"": [""gas""], ""fuel_efficiency"": ["""", 25.0], ""efficiency_reduction"": [0, """"]}}]",argument_mismatch
simple_179,simple,L4_Llama,NousResearch/Meta-Llama-3.1-8B-Instruct,transformers_gpu,0,"<tool_call>
{""name"": ""find_latest_court_case"", ""arguments"": {""company1"": ""Apple"", ""company2"": ""Samsung"", ""country"": ""USA""}}
</tool_call>",2.680144810117781,261,42,15.670795041165807,15386.96630859375,15386.96630859375,15426.0,,,,2026-04-30T21:41:48.032712+00:00,True,correct: Predicted calls match gold function names and required arguments.,"[{""name"": ""find_latest_court_case"", ""arguments"": {""company1"": ""Apple"", ""company2"": ""Samsung"", ""country"": ""USA""}}]","[{""name"": ""find_latest_court_case"", ""arguments"": {""company1"": [""Apple""], ""company2"": [""Samsung""], ""country"": [""USA"", """"]}}]",correct
